               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.041658,            0.021169,           0.0047108,             0.61906,             0.56513,             0.58021,             0.28353,            0.042098,            0.015592,           0.0091475,            0.007261,            0.007261,            0.007261
                  85,            0.041141,            0.020857,           0.0045925,             0.62493,             0.56458,             0.58234,             0.28416,            0.042105,            0.015599,           0.0091491,            0.007228,            0.007228,            0.007228
                  86,            0.040985,             0.02083,           0.0046118,               0.622,             0.56641,             0.58258,             0.28378,            0.042113,            0.015606,           0.0091668,            0.007195,            0.007195,            0.007195
                  87,             0.04137,            0.020879,           0.0047998,             0.61651,             0.57077,             0.58212,             0.28393,            0.042123,            0.015614,           0.0091674,            0.007162,            0.007162,            0.007162
                  88,            0.041391,            0.020935,           0.0046878,             0.61501,             0.57026,             0.58154,             0.28445,            0.042127,            0.015622,           0.0091804,            0.007129,            0.007129,            0.007129
                  89,            0.040913,            0.020759,             0.00453,             0.61776,             0.56836,             0.58163,             0.28403,            0.042128,             0.01563,           0.0091983,            0.007096,            0.007096,            0.007096
                  90,            0.041097,            0.020911,           0.0044006,             0.61524,             0.57011,             0.58169,             0.28433,            0.042133,            0.015636,           0.0092186,            0.007063,            0.007063,            0.007063
                  91,            0.040636,            0.020589,           0.0045011,             0.61833,             0.56817,             0.58153,             0.28398,            0.042141,            0.015643,           0.0092318,             0.00703,             0.00703,             0.00703
                  92,            0.040693,            0.020664,           0.0044582,              0.6144,             0.57165,              0.5815,             0.28342,            0.042139,            0.015655,           0.0092402,            0.006997,            0.006997,            0.006997
                  93,             0.04091,            0.020743,           0.0043487,             0.61839,             0.56858,             0.58102,             0.28347,            0.042149,            0.015663,           0.0092576,            0.006964,            0.006964,            0.006964
                  94,            0.040581,            0.020755,           0.0042317,             0.61934,             0.57015,             0.58144,             0.28332,            0.042159,            0.015669,           0.0092696,            0.006931,            0.006931,            0.006931
                  95,            0.040346,            0.020549,           0.0043552,             0.61967,              0.5682,             0.58146,             0.28335,            0.042168,            0.015678,           0.0092945,            0.006898,            0.006898,            0.006898
                  96,            0.040514,             0.02066,           0.0043569,             0.61597,             0.57395,             0.58166,             0.28376,            0.042179,            0.015682,           0.0093128,            0.006865,            0.006865,            0.006865
                  97,            0.040146,            0.020338,           0.0043118,             0.61262,             0.57598,             0.58076,             0.28327,            0.042186,            0.015687,           0.0093272,            0.006832,            0.006832,            0.006832
                  98,            0.040001,            0.020632,            0.004152,             0.61047,             0.57697,             0.58083,             0.28351,            0.042194,            0.015695,            0.009339,            0.006799,            0.006799,            0.006799
                  99,            0.040094,            0.020291,           0.0042865,             0.61311,             0.57544,             0.58144,             0.28368,            0.042202,            0.015701,            0.009355,            0.006766,            0.006766,            0.006766
                 100,            0.039734,             0.02041,           0.0042555,             0.61416,             0.57281,             0.58044,             0.28309,            0.042212,            0.015708,            0.009373,            0.006733,            0.006733,            0.006733
                 101,            0.039673,            0.020118,           0.0041711,               0.615,             0.57274,             0.58094,             0.28321,            0.042221,            0.015719,           0.0093897,              0.0067,              0.0067,              0.0067
                 102,            0.039593,             0.02009,            0.004125,             0.61446,             0.57166,             0.58035,             0.28259,            0.042229,            0.015728,           0.0094052,            0.006667,            0.006667,            0.006667
                 103,            0.039799,            0.020296,           0.0041703,             0.61319,             0.57376,             0.58053,             0.28287,            0.042231,            0.015737,           0.0094153,            0.006634,            0.006634,            0.006634
                 104,            0.040003,            0.020237,            0.004347,             0.61308,             0.57321,             0.58056,             0.28308,            0.042247,            0.015743,           0.0094229,            0.006601,            0.006601,            0.006601
                 105,            0.039383,            0.020005,           0.0041904,             0.61248,             0.57496,             0.58033,             0.28272,            0.042253,            0.015749,           0.0094398,            0.006568,            0.006568,            0.006568
                 106,            0.039522,            0.020131,           0.0040164,             0.61519,             0.57352,             0.58051,             0.28279,             0.04226,            0.015756,           0.0094591,            0.006535,            0.006535,            0.006535
                 107,            0.039328,            0.020289,            0.004039,             0.61177,              0.5756,             0.58021,              0.2825,            0.042267,            0.015761,           0.0094696,            0.006502,            0.006502,            0.006502
                 108,            0.039704,            0.020157,           0.0042435,             0.61291,             0.57469,             0.58026,             0.28281,             0.04227,            0.015764,           0.0094836,            0.006469,            0.006469,            0.006469
                 109,            0.038869,            0.020124,           0.0038565,             0.61311,             0.57182,             0.57972,             0.28313,            0.042277,            0.015769,           0.0094896,            0.006436,            0.006436,            0.006436
                 110,            0.038628,            0.019614,           0.0039821,             0.61532,             0.56797,             0.57894,             0.28271,            0.042285,            0.015773,           0.0095003,            0.006403,            0.006403,            0.006403
                 111,             0.03875,             0.01997,           0.0038593,             0.61552,             0.56741,              0.5789,             0.28283,            0.042295,             0.01578,           0.0095064,             0.00637,             0.00637,             0.00637
                 112,            0.038701,            0.019505,           0.0038269,             0.61663,             0.56697,             0.57855,             0.28283,            0.042299,            0.015783,           0.0095182,            0.006337,            0.006337,            0.006337
                 113,            0.038454,            0.019671,           0.0040357,             0.61864,             0.56345,             0.57888,             0.28299,            0.042304,            0.015787,           0.0095314,            0.006304,            0.006304,            0.006304
